date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,-2.2,-4.3,-0.1,0.0,,191.0,10.4,,1024.0,
2017-01-02,1.7,-0.6,2.8,0.3,,36.0,7.1,,1025.7,
2017-01-03,1.4,0.4,2.3,1.5,,198.0,6.5,,1030.4,
2017-01-04,4.3,0.1,6.6,0.0,,286.0,12.0,,1025.4,
2017-01-05,3.8,2.3,7.1,0.8,,350.0,10.3,,1032.3,
2017-01-06,-0.4,-2.1,5.1,0.0,,135.0,6.9,,1039.1,
2017-01-07,-0.7,-3.8,1.9,0.0,,197.0,6.7,,1035.8,
2017-01-08,6.6,1.0,8.2,0.3,,280.0,5.2,,1032.9,
2017-01-09,6.7,5.4,8.1,0.0,,211.0,9.0,,1025.6,
2017-01-10,6.5,4.7,8.0,4.8,,294.0,9.7,,1013.2,
2017-01-11,8.1,5.1,11.2,2.3,,256.0,11.9,,1014.8,
2017-01-12,6.8,5.4,10.0,0.5,,240.0,17.0,,1010.1,
2017-01-13,3.7,1.6,8.6,6.6,,287.0,16.7,,1009.7,
2017-01-14,3.3,1.7,5.1,1.5,,302.0,11.5,,1020.0,
2017-01-15,2.2,1.1,4.9,0.8,,253.0,8.6,,1023.7,
2017-01-16,2.1,0.9,3.7,4.3,,56.0,9.1,,1026.6,
2017-01-17,-1.2,-2.3,2.7,0.0,,36.0,13.9,,1034.4,
2017-01-18,-1.6,-3.5,0.8,0.0,,,,,,
2017-01-19,-1.4,-3.3,0.6,0.0,,60.0,12.5,,1033.8,
2017-01-20,-1.1,-2.8,1.4,0.0,,86.0,10.4,,1031.2,
2017-01-21,-1.2,-4.8,2.5,0.0,,127.0,6.4,,1028.0,
2017-01-22,1.1,-2.1,5.4,0.0,,37.0,6.4,,1026.7,
2017-01-23,-0.4,-1.7,2.4,0.0,,20.0,9.7,,1028.1,
2017-01-24,0.3,-2.2,2.9,0.0,,28.0,5.7,,1029.3,
2017-01-25,-0.6,-3.4,0.8,0.0,,77.0,11.1,,1028.4,
2017-01-26,-1.4,-4.9,2.7,0.0,,127.0,11.0,,1022.1,
2017-01-27,4.6,-0.5,9.1,0.0,,149.0,10.5,,1013.8,
2017-01-28,7.7,5.2,9.6,0.0,,188.0,10.1,,1015.7,
2017-01-29,5.3,2.5,7.5,0.0,,186.0,10.0,,1019.4,
2017-01-30,9.4,6.4,11.3,1.3,,216.0,10.5,,1013.7,
2017-01-31,11.3,10.3,13.2,1.5,,181.0,5.4,,1014.5,
2017-02-01,10.6,9.0,12.7,0.5,,182.0,11.3,,1012.3,
2017-02-02,10.3,7.7,12.6,0.0,,180.0,12.0,,1005.2,
2017-02-03,8.7,6.7,12.4,0.3,,197.0,16.4,,1002.1,
2017-02-04,6.1,4.7,8.3,6.9,,185.0,12.7,,998.7,
2017-02-05,7.4,4.5,11.5,10.2,,203.0,10.8,,1000.0,
2017-02-06,6.9,5.1,9.0,0.8,,314.0,13.1,,1017.6,
2017-02-07,7.7,5.3,11.4,7.1,,245.0,11.0,,1015.9,
2017-02-08,6.4,4.6,8.9,2.3,,338.0,13.0,,1022.9,
2017-02-09,4.0,3.3,6.8,0.0,,30.0,11.8,,1024.6,
2017-02-10,1.9,0.8,4.7,0.0,,42.0,12.6,,1020.1,
2017-02-11,0.7,-0.3,1.4,0.3,,340.0,8.6,,1019.8,
2017-02-12,4.1,0.0,8.7,0.0,,88.0,10.0,,1019.4,
2017-02-13,6.3,3.2,10.2,0.0,,102.0,13.5,,1019.9,
2017-02-14,7.8,4.1,12.9,0.0,,144.0,9.1,,1024.7,
2017-02-15,11.6,6.7,16.9,0.5,,195.0,9.4,,1031.1,
2017-02-16,10.6,8.9,13.8,1.5,,255.0,4.6,,1031.3,
2017-02-17,7.8,6.0,11.6,3.3,,298.0,5.7,,1029.6,
2017-02-18,6.4,2.7,11.8,0.0,,136.0,6.2,,1026.9,
2017-02-19,7.3,1.9,12.4,0.0,,245.0,6.6,,1025.7,
2017-02-20,10.4,8.2,12.2,0.0,,237.0,9.1,,1023.4,
2017-02-21,12.5,10.3,20.7,0.0,,270.0,12.9,,1021.3,
2017-02-22,11.2,5.3,12.4,0.0,,245.0,15.3,,1017.3,
2017-02-23,10.1,8.3,12.7,0.0,,244.0,18.8,,1008.0,
2017-02-24,6.9,4.9,10.7,0.5,,312.0,13.7,,1016.9,
2017-02-25,6.6,1.2,11.9,0.0,,203.0,10.5,,1021.1,
2017-02-26,9.6,6.1,12.7,0.0,,209.0,12.4,,1014.7,
2017-02-27,9.6,6.6,12.4,0.0,,217.0,22.2,,1001.3,
2017-02-28,6.2,4.5,9.0,5.1,,234.0,18.0,,995.7,
2017-03-01,8.4,5.9,11.8,2.8,,235.0,16.9,,1004.4,
2017-03-02,8.8,5.8,12.6,9.1,,243.0,15.3,,1014.9,
2017-03-03,10.7,6.3,15.6,0.0,,151.0,10.4,,1003.7,
2017-03-04,8.6,6.8,13.5,4.8,,223.0,11.0,,993.9,
2017-03-05,6.8,4.5,10.1,11.7,,229.0,18.1,,1000.7,
2017-03-06,6.4,4.0,8.8,8.4,,261.0,15.2,,1006.3,
2017-03-07,7.5,6.1,10.4,15.0,,278.0,11.1,,1018.5,
2017-03-08,10.4,5.9,13.9,0.5,450.0,223.0,12.8,,1019.6,
2017-03-09,12.9,11.9,15.0,0.5,450.0,269.0,11.6,,1023.4,
2017-03-10,9.3,8.0,14.1,0.0,,122.0,7.5,,1026.8,
2017-03-11,10.9,5.1,17.8,0.0,,117.0,6.2,,1019.3,
2017-03-12,11.9,8.0,17.5,0.0,,345.0,8.9,,1013.8,
2017-03-13,11.4,8.2,16.1,0.0,,347.0,14.5,,1026.5,
2017-03-14,10.6,6.4,15.6,0.0,,311.0,8.6,,1034.4,
2017-03-15,12.0,9.8,15.7,0.0,,33.0,8.3,,1032.8,
2017-03-16,13.7,8.2,20.4,0.0,,157.0,6.0,,1023.9,
2017-03-17,10.6,8.1,16.9,0.0,,299.0,11.9,,1020.2,
2017-03-18,11.2,7.2,15.4,0.8,,265.0,17.5,,1016.5,
2017-03-19,12.4,11.2,13.7,0.3,,260.0,13.0,,1016.2,
2017-03-20,11.4,10.1,12.8,0.0,,229.0,14.4,,1012.7,
2017-03-21,9.4,7.1,12.0,0.3,,267.0,11.4,,1012.9,
2017-03-22,8.7,4.7,13.7,1.5,,174.0,12.5,,1010.7,
2017-03-23,9.6,6.3,14.1,0.3,,124.0,10.9,,1010.4,
2017-03-24,10.3,7.8,14.2,12.4,,53.0,9.9,,1022.6,
2017-03-25,12.6,6.8,18.9,3.6,,53.0,19.1,,1021.2,
2017-03-26,12.8,7.8,18.6,0.0,,90.0,9.9,,1019.7,
2017-03-27,13.9,8.4,19.3,0.0,,105.0,8.1,,1020.0,
2017-03-28,13.4,8.3,18.9,0.0,,210.0,9.9,,1022.9,
2017-03-29,14.3,7.9,20.7,0.0,,206.0,8.8,,1026.7,
2017-03-30,16.8,10.0,23.7,0.0,,151.0,8.7,,1022.7,
2017-03-31,14.9,12.0,20.4,0.0,,207.0,11.2,,1014.8,
2017-04-01,12.5,9.3,17.5,4.1,,226.0,9.6,,1012.9,
2017-04-02,13.6,9.2,18.7,0.0,,19.0,8.1,,1019.8,
2017-04-03,14.3,8.4,20.2,0.0,,16.0,7.5,,1025.7,
2017-04-04,13.4,10.0,17.5,0.0,,4.0,9.3,,1024.5,
2017-04-05,11.6,8.1,15.8,0.0,,14.0,16.7,,1027.6,
2017-04-06,10.7,6.8,15.2,0.0,,36.0,15.2,,1029.3,
2017-04-07,12.7,6.6,19.3,0.0,,52.0,6.7,,1026.9,
2017-04-08,15.1,8.6,21.9,0.0,,44.0,7.0,,1023.8,
2017-04-09,17.7,9.5,26.5,0.0,,151.0,5.0,,1021.9,
2017-04-10,13.3,10.9,22.6,0.0,,331.0,14.8,,1023.4,
2017-04-11,11.9,7.1,17.3,0.0,,26.0,9.5,,1027.3,
2017-04-12,12.9,7.5,19.0,0.0,,289.0,10.0,,1021.9,
2017-04-13,11.9,8.4,16.4,0.0,,314.0,9.2,,1018.8,
2017-04-14,13.0,10.4,17.2,0.0,,358.0,8.4,,1018.0,
2017-04-15,11.8,9.2,16.1,0.0,,285.0,10.1,,1019.7,
2017-04-16,10.8,7.5,14.6,0.5,,299.0,10.4,,1023.5,
2017-04-17,10.6,9.1,14.9,0.0,,323.0,12.8,,1021.5,
2017-04-18,8.1,4.4,12.4,0.3,,23.0,13.0,,1027.5,
2017-04-19,7.9,3.5,12.6,0.5,,33.0,14.5,,1033.2,
2017-04-20,8.5,1.9,14.2,0.0,,50.0,9.8,,1035.8,
2017-04-21,12.3,4.8,18.9,0.0,,34.0,7.0,,1032.3,
2017-04-22,12.2,10.4,16.7,0.0,,349.0,9.3,,1027.4,
2017-04-23,10.9,5.8,15.9,0.0,,53.0,12.0,,1026.3,
2017-04-24,12.1,5.7,17.6,0.0,,351.0,7.8,,1017.6,
2017-04-25,8.8,5.5,15.7,0.5,,358.0,12.7,,1011.9,
2017-04-26,6.4,3.7,10.4,0.0,,10.0,11.4,,1014.6,
2017-04-27,7.4,3.2,11.9,4.3,,353.0,11.9,,1018.6,
2017-04-28,9.3,5.6,14.8,0.8,,284.0,6.6,,1017.6,
2017-04-29,12.2,6.0,19.1,0.5,,136.0,8.6,,1016.1,
2017-04-30,12.5,7.6,19.9,0.0,,158.0,12.2,,1004.7,
2017-05-01,11.0,7.4,16.3,10.4,,215.0,16.0,,1009.2,
2017-05-02,12.7,7.7,17.7,0.0,,58.0,10.0,,1016.5,
2017-05-03,10.1,9.2,15.2,0.8,,1.0,8.5,,1018.5,
2017-05-04,11.6,8.4,17.5,18.0,,16.0,8.6,,1017.4,
2017-05-05,13.4,8.6,18.8,4.3,,53.0,11.0,,1016.7,
2017-05-06,12.1,11.5,18.0,0.0,,30.0,8.4,,1008.8,
2017-05-07,11.7,10.3,14.5,9.4,,321.0,12.9,,1018.2,
2017-05-08,10.6,9.6,12.7,0.3,,354.0,13.0,,1023.1,
2017-05-09,12.2,5.8,17.5,0.3,,39.0,13.8,,1019.6,
2017-05-10,15.4,6.9,22.1,0.0,,85.0,9.6,,1007.0,
2017-05-11,16.2,13.4,21.5,0.0,,173.0,9.8,,997.4,
2017-05-12,15.6,10.8,22.3,0.8,,191.0,10.7,,1000.9,
2017-05-13,15.7,11.1,20.7,13.7,,219.0,11.4,,1011.2,
2017-05-14,15.8,11.4,20.5,0.0,,236.0,9.7,,1021.4,
2017-05-15,18.1,11.2,24.9,0.8,,189.0,8.0,,1028.1,
2017-05-16,21.1,15.3,28.4,0.0,,,,,,
2017-05-17,22.7,18.1,29.7,0.0,,191.0,8.8,,1017.2,
2017-05-18,16.2,11.1,22.4,7.6,,235.0,10.5,,1011.4,
2017-05-19,12.1,9.4,17.4,14.7,,249.0,12.0,,1014.5,
2017-05-20,13.3,7.1,19.0,2.3,,216.0,9.9,,1021.3,
2017-05-21,16.6,9.6,22.8,0.0,,144.0,8.2,,1024.3,
2017-05-22,20.1,12.1,26.5,0.0,,141.0,7.4,,1016.7,
2017-05-23,19.7,14.5,24.9,0.0,,321.0,11.3,,1020.9,
2017-05-24,19.8,15.6,25.4,0.0,,17.0,9.1,,1025.0,
2017-05-25,22.1,16.0,27.5,0.0,,60.0,12.6,,1021.8,
2017-05-26,23.3,16.5,28.8,0.0,,105.0,13.2,,1016.6,
2017-05-27,24.7,17.8,31.2,0.0,,191.0,8.7,,1015.2,
2017-05-28,19.0,,,,,,,,,
2017-05-29,25.2,,,,,,,,,
2017-05-30,19.7,17.6,22.9,0.0,,,,,1017.2,
2017-05-31,19.7,14.4,25.0,0.0,,,,,1022.2,
2017-06-01,22.4,15.6,28.3,0.0,,,,,1020.2,
2017-06-02,21.8,19.6,28.1,0.0,,,,,1016.1,
2017-06-03,17.1,14.7,21.0,3.3,,,,,1015.5,
2017-06-04,15.8,11.0,20.2,2.3,,,,,1018.7,
2017-06-05,18.6,12.4,24.3,0.0,,,,,1013.3,
2017-06-06,14.3,11.7,20.7,7.1,,,,,1005.6,
2017-06-07,15.2,10.5,20.5,3.6,,,,,1017.2,
2017-06-08,20.3,12.1,28.0,0.0,,,,,1015.3,
2017-06-09,18.9,15.6,26.4,10.7,,,,,1014.1,
2017-06-10,22.0,15.2,28.0,0.0,,,,,1019.1,
2017-06-11,23.3,16.3,29.9,0.0,,,,,1016.7,
2017-06-12,17.8,14.1,25.8,0.0,,,,,1020.2,
2017-06-13,19.1,12.9,24.7,0.0,,61.0,8.5,,1019.6,
2017-06-14,23.4,16.7,30.0,0.0,,108.0,8.0,,1016.0,
2017-06-15,23.6,19.6,28.9,0.0,,280.0,10.2,,1015.7,
2017-06-16,18.5,14.0,25.5,0.0,,332.0,12.5,,1024.4,
2017-06-17,21.9,15.4,28.2,0.0,,28.0,8.5,,1026.8,
2017-06-18,25.0,19.3,30.5,0.0,,79.0,11.4,,1022.2,
2017-06-19,26.9,18.9,34.4,0.0,,110.0,6.6,,1017.6,
2017-06-20,28.6,21.2,34.6,0.0,,63.0,7.4,,1015.5,
2017-06-21,30.3,23.4,36.9,0.0,,147.0,6.4,,1013.9,
2017-06-22,27.8,22.7,35.1,0.0,,286.0,10.2,,1013.0,
2017-06-23,19.9,16.5,26.9,0.0,,308.0,12.3,,1019.3,
2017-06-24,21.3,16.8,26.0,0.0,,257.0,11.3,,1018.7,
2017-06-25,22.5,18.6,27.5,0.0,,271.0,12.1,,1015.6,
2017-06-26,23.2,17.0,29.5,0.0,,41.0,8.5,,1012.7,
2017-06-27,21.5,19.6,26.7,0.3,,143.0,6.9,,1005.9,
2017-06-28,19.3,16.9,24.4,11.7,,259.0,10.4,,998.6,
2017-06-29,17.2,15.1,22.4,5.1,,238.0,11.9,,998.8,
2017-06-30,16.5,14.0,20.4,1.5,,224.0,10.8,,1004.2,
2017-07-01,16.9,14.6,21.1,5.6,,301.0,10.7,,1014.9,
2017-07-02,17.4,13.5,23.5,6.9,,281.0,9.4,,1022.2,
2017-07-03,19.6,14.8,24.8,1.0,,298.0,8.0,,1023.4,
2017-07-04,22.1,14.9,29.1,0.0,,20.0,5.8,,1020.7,
2017-07-05,25.6,17.4,32.8,0.0,,66.0,8.1,,1016.8,
2017-07-06,26.6,20.2,35.2,0.0,,141.0,9.1,,1014.7,
2017-07-07,27.1,21.8,33.5,2.0,,317.0,7.4,,1016.3,
2017-07-08,24.7,19.0,31.7,0.0,,353.0,10.4,,1017.5,
2017-07-09,23.2,19.0,29.5,0.0,,50.0,8.5,,1012.4,
2017-07-10,19.1,16.3,25.2,67.8,51.0,278.0,7.1,,1010.9,
2017-07-11,19.6,14.7,25.0,10.9,,235.0,9.1,,1013.2,
2017-07-12,19.7,16.5,23.3,1.0,,280.0,12.5,,1013.9,
2017-07-13,19.9,15.5,25.4,0.3,,92.0,8.3,,1020.4,
2017-07-14,19.1,15.1,23.2,0.0,,325.0,12.6,,1020.4,
2017-07-15,20.3,14.1,25.8,0.0,,331.0,7.9,,1023.7,
2017-07-16,23.3,18.8,29.2,0.0,,326.0,8.7,,1023.7,
2017-07-17,21.8,17.9,30.1,0.0,,,,,,
2017-07-18,26.8,19.5,33.9,0.0,,,,,,
2017-07-19,24.9,23.1,31.7,0.0,,,,,,
2017-07-20,20.1,18.4,25.5,0.5,,254.0,14.1,,1012.0,
2017-07-21,20.6,14.7,25.3,0.0,,206.0,9.3,,1012.1,
2017-07-22,18.1,15.5,24.0,0.0,,217.0,11.9,,1011.5,
2017-07-23,17.2,13.7,21.9,3.0,,238.0,13.1,,1015.3,
2017-07-24,16.5,13.8,20.9,5.1,,299.0,12.3,,1013.6,
2017-07-25,18.2,15.8,22.0,0.5,,326.0,13.2,,1015.2,
2017-07-26,18.7,13.0,24.1,0.0,,232.0,9.9,,1012.8,
2017-07-27,19.3,17.4,22.1,0.3,,269.0,8.6,,1010.3,
2017-07-28,19.8,16.1,23.3,1.0,,250.0,11.5,,1014.3,
2017-07-29,23.1,18.3,28.9,0.0,,229.0,13.2,,1012.8,
2017-07-30,21.9,19.9,26.8,0.0,,238.0,16.9,,1010.2,
2017-07-31,19.4,14.7,24.1,0.0,,215.0,6.7,,1014.0,
2017-08-01,21.2,16.7,26.8,0.5,,298.0,7.2,,1015.0,
2017-08-02,23.3,17.2,30.1,0.0,,233.0,9.0,,1016.6,
2017-08-03,22.6,18.2,28.4,0.5,,246.0,15.4,,1013.5,
2017-08-04,21.7,17.9,26.1,0.0,,256.0,13.2,,1015.1,
2017-08-05,19.3,15.6,24.1,2.5,,313.0,11.6,,1017.3,
2017-08-06,18.7,13.5,24.4,0.0,,324.0,7.6,,1023.5,
2017-08-07,20.8,13.8,27.5,0.0,,79.0,7.8,,1018.0,
2017-08-08,16.9,15.4,24.2,0.5,,283.0,10.1,,1011.4,
2017-08-09,15.4,13.6,19.7,2.3,,222.0,7.0,,1015.7,
2017-08-10,14.9,12.6,20.3,6.6,,261.0,6.2,,1019.5,
2017-08-11,17.2,14.0,21.0,16.0,,332.0,8.4,,1020.4,
2017-08-12,17.1,13.9,20.7,0.0,,248.0,9.9,,1019.7,
2017-08-13,17.8,12.9,23.9,1.8,,301.0,5.8,,1021.1,
2017-08-14,20.7,11.9,28.3,0.0,,173.0,5.5,,1017.8,
2017-08-15,21.3,17.6,,1.5,,,,,,
2017-08-16,20.6,15.7,26.0,0.5,,73.0,7.4,,1020.3,
2017-08-17,19.6,16.6,24.8,0.0,,218.0,10.5,,1017.2,
2017-08-18,19.2,17.5,23.1,15.5,,238.0,9.9,,1015.3,
2017-08-19,16.8,12.2,21.9,4.6,,280.0,10.2,,1020.9,
2017-08-20,17.6,11.9,23.1,0.0,,273.0,6.4,,1025.2,
2017-08-21,20.2,16.3,23.8,0.0,,243.0,6.1,,1022.5,
2017-08-22,22.6,16.3,28.9,0.0,,96.0,6.5,,1018.5,
2017-08-23,21.8,17.4,28.1,0.0,,196.0,10.2,,1014.8,
2017-08-24,20.1,15.5,25.1,0.0,,50.0,5.3,,1018.1,
2017-08-25,19.5,17.0,23.0,0.0,,51.0,7.0,,1016.0,
2017-08-26,22.3,17.6,28.5,13.0,,179.0,4.9,,1015.5,
2017-08-27,22.8,17.9,28.9,0.5,,50.0,6.5,,1016.8,
2017-08-28,24.6,18.9,30.5,3.3,,46.0,6.1,,1016.9,
2017-08-29,26.3,19.6,32.9,0.0,,117.0,5.8,,1012.8,
2017-08-30,19.8,15.3,29.3,0.0,,275.0,11.6,,1009.7,
2017-08-31,16.5,12.0,21.6,2.3,,282.0,10.7,,1018.9,
